rg,layer,k,num-params,batch-size,test-time,test-time-std,test-space,test-space-std,train-time,train-time-std,train-space,train-space-std
RQT,cp,8,1673248,128,2.50463434587042,0.14018229752731196,0.310671329498291,0.0,6.191355117353569,0.7094458512300539,0.3310732841491699,6.191355117353569
RQT,cp-shared,8,1606688,128,2.5565437399239905,0.2427560798319697,0.310422420501709,0.0,6.800336709462974,0.8612162493546421,0.33032846450805664,6.800336709462974
RQT,cp,16,3481664,128,2.784680611637223,0.28912214903732253,0.32338953018188477,0.0,6.887268257907117,0.7148194577772807,0.35726499557495117,6.887268257907117
RQT,cp-shared,16,3215424,128,2.855990111109722,0.2924594638379474,0.32239675521850586,0.0,7.5299043100043,0.8798892470136523,0.35428857803344727,7.5299043100043
RQT,cp,32,7504000,128,3.1254636446634927,0.27491715052208676,0.35033655166625977,0.0,8.41947427810914,0.7233584117991132,0.41418027877807617,8.41947427810914
RQT,cp-shared,32,6439040,128,3.18988119071746,0.2705179139187585,0.34636831283569336,0.0,12.12230128935542,0.6591597364045827,0.40227746963500977,12.12230128935542
RQT,cp,64,17170688,128,3.9460477388527497,0.06094753450945077,0.41222667694091797,0.0,11.416347001929838,0.7315003541682475,0.5485811233520508,11.416347001929838
RQT,cp-shared,64,12910848,128,4.075164275954526,0.3001061360754844,0.39635658264160156,0.0,15.067789541190887,0.8114073001432675,0.5004844665527344,15.067789541190887
RQT,cp,128,42992128,128,6.073757047155296,0.6144176231811624,0.554957389831543,0.0,18.796426060688066,0.44305086196323257,0.9753561019897461,18.796426060688066
RQT,cp-shared,128,25952768,128,6.195745538994969,0.349649704979366,0.49083995819091797,0.0,19.994542148697327,0.49881513278933676,0.8310384750366211,19.994542148697327
RQT,cp,256,120587264,128,10.066516041276923,0.08627019558064031,1.0246410369873047,0.0,35.31471114560782,0.23488290655407146,2.406367778778076,35.31471114560782
RQT,cp-shared,256,52429824,128,10.547951453182113,0.28427464981906597,0.7707338333129883,0.0,31.299506934292346,0.23032297786972133,1.5508928298950195,31.299506934292346
RQT,cp,512,379586560,128,23.866717924554663,0.07649968639878536,2.5539417266845703,0.0,96.15683473640657,0.3511174727584062,7.134898662567139,96.15683473640657
RQT,cp-shared,512,106956800,128,24.93253887896557,0.20785487911047013,1.538315773010254,0.0,67.39041857738572,0.4070231371200574,3.0098886489868164,67.39041857738572
RQT,cp,1024,1312821248,128,62.07105170866572,0.47598891842045016,7.159418106079102,0.0,295.7946128998416,0.6793839142205342,24.47173547744751,295.7946128998416
RQT,cp-shared,1024,222302208,128,63.91150394117976,0.6142141124908633,3.096917152404785,0.0,168.5509414979253,0.7070026941367721,5.99819278717041,168.5509414979253
RQT,cp-shared,2048,478158848,128,161.21689302375518,0.641010384043135,6.307869911193848,0.0,432.51511294200236,0.8877134077419809,12.256051063537598,432.51511294200236
RQT,cp-shared,4096,1090535424,128,446.24816097887646,4.742151627478714,13.104775428771973,0.0,1257.4899735661395,1.5752182317526513,25.896767616271973,1257.4899735661395
PD,cp,8,2030028,128,6.6147890263293165,0.3103325680865984,0.30985593795776367,0.0,23.622131745978052,2.6984139738884445,0.33292150497436523,23.622131745978052
PD,cp-shared,8,1631388,128,6.8764176713414935,0.38309201648970814,0.30837106704711914,0.0,25.88285811550646,2.7432581152220856,0.32846689224243164,25.88285811550646
PD,tucker,8,3230220,128,9.395277348866903,0.3699695260325925,0.31432676315307617,0.0,27.62217032191265,2.4701237571008257,0.34692907333374023,27.62217032191265
PD,cp,16,4859788,128,6.96466813221514,0.32778531251075116,0.32709503173828125,0.0,24.557717978236187,2.667058145575254,0.3785576820373535,24.557717978236187
PD,cp-shared,16,3265580,128,6.871440841490964,0.3812198965755943,0.32043933868408203,0.0,26.234955546367598,2.477585225056423,0.4080672264099121,26.234955546367598
PD,tucker,16,16058892,128,10.616163449115064,0.6274480940262511,0.36852502822875977,0.0,34.527794389839634,2.204043610508937,0.8701038360595703,34.527794389839634
PD,cp,32,12918540,128,7.782888356940335,0.36190303910501087,0.3693981170654297,0.0,26.39858963594858,1.978158390199796,0.670543168922026,26.39858963594858
PD,cp-shared,32,6542412,128,8.116689743287113,0.7299499127594246,0.3446078300476074,0.0,66.0630185077468,1.4731185826008117,0.6927809715270996,66.0630185077468
PD,tucker,32,108899340,128,16.070364898467158,0.3538702785460247,0.7374601364135742,0.0,71.22498195908635,1.4369454387866367,3.328092575073242,71.22498195908635
PD,cp,64,38632972,128,10.70717019153886,0.39825362951839166,0.4905214309692383,0.0,31.712920468495074,0.957825331209629,1.3641943031525516,31.712920468495074
PD,cp-shared,64,13129868,128,11.254388292151761,0.3431883954560812,0.39502668380737305,0.0,73.0067533929664,0.9609045791169736,1.2678801659120613,73.0067533929664
PD,tucker,64,832026636,128,41.71245979401002,0.4635385188368272,4.250029563903809,0.0,271.06849394648907,1.257612476600156,17.42184196227047,271.06849394648907
PD,cp,128,128449548,128,18.334059366739417,0.22210760710802416,0.9305620729683872,2.438431482854441e-05,60.39997497619874,0.8527925576678169,3.1758140809085953,60.39997497619874
PD,cp-shared,128,26439948,128,19.21911619561743,0.5943359791660321,0.5453567504882812,0.0,93.26601933858481,0.9174678557493746,2.40834892226989,93.26601933858481
PD,cp,256,461633548,128,34.86692912703058,0.21428991470693862,2.601943016052246,0.0,141.52870018893935,0.683669964835749,8.614984035491943,141.52870018893935
PD,cp-shared,256,53600780,128,37.185439956236074,0.24190567725233475,1.0819025039672852,0.0,138.44882827207266,0.4490637893572291,4.685686647652622,138.44882827207266
PD,cp,512,1742204940,128,75.26008317939727,0.17404575557057866,8.245734214782715,0.0,404.50742202207266,1.2506674099489314,32.4692702293396,404.50742202207266
PD,cp-shared,512,110085132,128,80.75789535093499,0.18474451924126978,2.1665754318237305,0.0,249.93312422051488,0.45852037030434634,9.275699615478516,249.93312422051488
PD,cp-shared,1024,231704588,128,198.5706852679272,0.797224949561336,4.366087913513184,0.0,614.4247939021711,1.3970448688864008,18.553817749023438,614.4247939021711
PD,cp-shared,2048,509546508,128,562.3056248431225,6.990565619851756,8.894415855407715,0.0,1867.2714466263492,1.8957567457052307,37.49835968017578,1867.2714466263492
QG,cp,8,1809218,128,5.264492979011383,0.21436144875725888,0.31117820739746094,0.0,21.019991671703906,2.56182034697659,0.3325958251953125,21.019991671703906
QG,cp-shared,8,1610930,128,5.4325027408370055,0.2805012078533582,0.3104395866394043,0.0,21.82634270526319,2.6237524316636835,0.3303799629211426,21.82634270526319
QG,tucker,8,2407586,128,7.607121218639206,0.3107169848818501,0.31340694427490234,0.0,21.501071202228346,3.2281185423812975,0.3392820358276367,21.501071202228346
QG,cp,16,4017282,128,5.658357468953573,0.2957993205521888,0.32599496841430664,0.0,19.277539854547584,2.8833295718134,0.3641066551208496,19.277539854547584
QG,cp-shared,16,3224162,128,5.801850339973787,0.2918141494369447,0.3224301338195801,0.0,20.720977706602778,2.306002168830642,0.3543887138366699,20.720977706602778
QG,tucker,16,9601602,128,8.342135130640973,0.5189252375394595,0.3461875915527344,0.0,24.286225904901343,2.8009909163380575,0.5318970680236816,24.286225904901343
QG,cp,32,9629954,128,6.309729285029523,0.4328993481424209,0.35825586318969727,0.0,22.273244329245692,1.7668596585727117,0.4396786689758301,22.273244329245692
QG,cp-shared,32,6457538,128,6.4392651745593215,0.3060019398920008,0.346437931060791,0.0,38.303016264275854,1.7489876557377901,0.42833423614501953,38.303016264275854
QG,tucker,32,57493634,128,11.127006048179535,0.32144579970534204,0.5624866485595703,0.0,42.07848797840287,1.199020830466689,1.9609971046447754,42.07848797840287
QG,cp,64,25641474,128,7.84129002582596,0.27852083660122057,0.44442224502563477,0.0,22.429300055446394,1.8114867155658207,0.7869267463684082,22.429300055446394
QG,cp-shared,64,12951938,128,8.209190782294217,0.2440223797443336,0.39651012420654297,0.0,44.51355663743843,1.3702897991526186,0.7367849349975586,44.51355663743843
QG,tucker,64,421306626,128,24.57720140663974,0.8122587939594224,2.8184304237365723,0.0,142.51544091404682,1.7129982726060173,9.911041736602783,142.51544091404682
QG,cp,128,76809218,128,11.87074721386155,0.26085046417363467,0.6966986656188965,0.0,36.812178523664976,0.7029302029446796,1.7285803810180909,36.812178523664976
QG,cp-shared,128,26051330,128,12.503888068907711,0.45965284451959265,0.5076107978820801,0.0,53.69865005370603,0.9608364517464383,1.3505291938781738,53.69865005370603
QG,cp,256,255723522,128,20.983469369421044,0.27465975351068733,1.7632603645324707,0.0,80.75902502220798,1.593494738284874,4.786303520202637,80.75902502220798
QG,cp-shared,256,52692482,128,22.30810138595152,0.4999401802727739,1.0062708854675293,0.0,78.89782380866238,1.3123554210621504,2.5889430046081543,78.89782380866238
QG,cp,512,919867394,128,48.05568261510397,0.3643858254224154,5.035577297210693,0.0,222.04054015132797,1.2931367339713689,17.152400970458984,222.04054015132797
QG,cp-shared,512,107744258,128,51.080849015569115,0.40465007732648656,2.0101828575134277,0.0,146.61989026663295,0.9375448944360807,5.073216915130615,146.61989026663295
QG,cp-shared,1024,224925698,128,133.6551767985026,0.696513373462502,4.044891834259033,0.0,364.0191390562249,1.4769835812245877,10.145483016967773,364.0191390562249
QG,cp-shared,2048,487600130,128,358.73257630129893,2.984922658225826,8.218225002288818,0.0,1067.3114915717558,4.011218703546335,20.592435836791992,1067.3114915717558
QG,cp-shared,4096,1126195202,128,1091.0023938527547,13.283419392707696,16.987802028656006,0.0,3356.3568669208084,21.95719773412096,42.72451210021973,3356.3568669208084
