seed,dataset,k,rg,layer,Best/Test/bpd,train_time,num_params,num_trainable_params
7331,mnist,32,QG,cp-shared,1.301728606,1648.396118,6457538,6441024
13,mnist,32,QG,cp-shared,1.317965865,1128.317017,6457538,6441024
17,mnist,32,QG,cp-shared,1.305408359,2022.305054,6457538,6441024
1337,mnist,512,QG,cp-shared,1.234914541,3688.295898,107744256,107480064
7331,mnist,512,QG,cp-shared,1.230524421,3186.943115,107744256,107480064
13,mnist,512,QG,cp-shared,1.235184073,2861.861328,107744256,107480064
17,mnist,512,QG,cp-shared,1.232687116,3520.78418,107744256,107480064
42,mnist,512,QG,cp-shared,1.239667058,2888.168213,107744256,107480064
7331,mnist,64,QG,cp-shared,1.279450297,1667.697144,12951938,12918912
17,mnist,64,QG,cp-shared,1.270923138,1223.614868,12951938,12918912
42,mnist,64,QG,cp-shared,1.273218155,1267.937012,12951938,12918912
1337,mnist,64,QG,cp-shared,1.277740836,1343.158691,12951938,12918912
13,mnist,64,QG,cp-shared,1.276237726,1167.260254,12951938,12918912
13,mnist,128,QG,cp,1.170754552,2008.644531,76809216,76743168
17,mnist,128,QG,cp,1.170884728,1806.514404,76809216,76743168
42,mnist,128,QG,cp,1.171241999,2010.657471,76809216,76743168
1337,mnist,128,QG,cp,1.170576096,1926.557129,76809216,76743168
7331,mnist,128,QG,cp,1.169526696,2063.937988,76809216,76743168
17,mnist,16,QG,cp,1.248511791,1500.696045,4017282,4009024
42,mnist,16,QG,cp,1.248177767,1430.797729,4017282,4009024
1337,mnist,16,QG,cp,1.248936415,1311.879028,4017282,4009024
13,mnist,16,QG,cp,1.248227596,1462.997192,4017282,4009024
7331,mnist,16,QG,cp,1.246314764,1586.302124,4017282,4009024
13,mnist,256,QG,cp,1.169849515,2572.807617,255723520,255591424
1337,mnist,256,QG,cp,1.176802158,2772.771973,255723520,255591424
42,mnist,256,QG,cp,1.172612786,2544.983887,255723520,255591424
17,mnist,256,QG,cp,1.175479531,2345.974121,255723520,255591424
7331,mnist,256,QG,cp,1.170927048,2595.005371,255723520,255591424
17,mnist,32,QG,cp,1.212304831,1400.569214,9629954,9613440
1337,mnist,32,QG,cp,1.211978555,1477.269653,9629954,9613440
7331,mnist,32,QG,cp,1.210283875,1512.272583,9629954,9613440
42,mnist,32,QG,cp,1.211240292,1353.608521,9629954,9613440
13,mnist,32,QG,cp,1.212416649,1335.054199,9629954,9613440
42,mnist,512,QG,cp,1.174408078,5413.421387,919867392,919603200
13,mnist,512,QG,cp,1.175921679,5071.172363,919867392,919603200
1337,mnist,512,QG,cp,1.176003456,5337.410156,919867392,919603200
7331,mnist,512,QG,cp,1.178720713,5426.77002,919867392,919603200
17,mnist,512,QG,cp,1.178691268,5206.23877,919867392,919603200
1337,mnist,64,QG,cp,1.184874892,1521.584717,25641474,25608448
13,mnist,64,QG,cp,1.185298085,1498.326416,25641474,25608448
17,mnist,64,QG,cp,1.184550881,1334.103638,25641474,25608448
7331,mnist,64,QG,cp,1.186340928,1460.351685,25641474,25608448
42,mnist,64,QG,cp,1.184301138,1590.072144,25641474,25608448
1337,mnist,16,QG,tucker,1.235709071,2710.572021,9601602,9593344
7331,mnist,16,QG,tucker,1.233948231,2761.935791,9601602,9593344
13,mnist,16,QG,tucker,1.233948231,2774.42627,9601602,9593344
17,mnist,16,QG,tucker,1.232097149,3350.463135,9601602,9593344
42,mnist,16,QG,tucker,1.232097149,3451.98999,9601602,9593344
1337,mnist,16,QG,tucker,1.234366536,2842.155518,9601602,9593344
13,mnist,16,QG,tucker,1.23420608,2903.762451,9601602,9593344
7331,mnist,16,QG,tucker,1.233932257,2966.954346,9601602,9593344
17,mnist,16,QG,tucker,1.232227206,3492.986572,9601602,9593344
42,mnist,16,QG,tucker,1.232097149,3639.884277,9601602,9593344
13,mnist,32,QG,tucker,1.221336603,3273.604492,57493632,57477120
17,mnist,32,QG,tucker,1.220769644,3609.621094,57493632,57477120
13,mnist,32,QG,tucker,1.221336603,3361.337891,57493632,57477120
17,mnist,32,QG,tucker,1.220769644,3734.436035,57493632,57477120
42,mnist,32,QG,tucker,1.223723769,3142.514404,57493632,57477120
1337,mnist,32,QG,tucker,1.224331856,2980.574219,57493632,57477120
7331,mnist,32,QG,tucker,1.222985029,3436.124268,57493632,57477120
13,mnist,64,QG,tucker,1.256199121,3475.330566,421306624,421273600
17,mnist,64,QG,tucker,1.254784226,3149.004639,421306624,421273600
42,mnist,64,QG,tucker,1.259299159,3550.980713,421306624,421273600
1337,mnist,64,QG,tucker,1.257152915,3172.33252,421306624,421273600
7331,mnist,64,QG,tucker,1.256776214,3551.267822,421306624,421273600
