path,train_bpd,valid_bpd,test_bpd
out/compressed/mnist/PD_64/rank_1.mdl,1.2808702168990798,1.4318856007573197,1.3947396806132357
out/compressed/mnist/PD_64/rank_2.mdl,1.2715888370356265,1.4222261916056027,1.3853614382796355
out/compressed/mnist/PD_64/rank_4.mdl,1.2655725805175027,1.4163350910130015,1.3794333406406587
out/compressed/mnist/PD_64/rank_8.mdl,1.2620978742650666,1.4132599715052734,1.3763051915858613
out/compressed/mnist/PD_64/rank_16.mdl,1.260986814783875,1.4124724736262761,1.375542052028548
out/compressed/mnist/PD_64/rank_32.mdl,1.2606465624965717,1.4122450206692823,1.3753435003184702
out/compressed/mnist/PD_64/rank_64.mdl,1.2601092705376524,1.411908901707468,1.3750273299739106
out/compressed/mnist/PD_64/rank_1finetuned.mdl,1.2764542928087894,1.475376653326176,1.4364038830163828
out/compressed/mnist/PD_64/rank_2finetuned.mdl,1.2473095953416853,1.4677998591139052,1.4290549625088227
out/compressed/mnist/PD_64/rank_4finetuned.mdl,1.2477253340368641,1.4680027381040304,1.4292178148773274
out/compressed/mnist/PD_64/rank_8finetuned.mdl,1.263515448533518,1.4640001717843023,1.4250505493078873
out/compressed/mnist/PD_64/rank_16finetuned.mdl,1.242756949681887,1.4639061313151456,1.4252041749377393
out/compressed/mnist/PD_64/rank_32finetuned.mdl,1.2628739810339595,1.4636441751285385,1.4244707972912365
out/compressed/mnist/PD_64/rank_64finetuned.mdl,1.2413317483837318,1.4629996164624441,1.4240795019147328
out/compressed/mnist/QG_32/rank_1.mdl,3.73010624834493,3.7737006471662746,3.7538460320438705
out/compressed/mnist/QG_32/rank_2.mdl,2.736593820548972,2.8014688731499575,2.752970826910414
out/compressed/mnist/QG_32/rank_4.mdl,2.186916277649908,2.25078237712543,2.20303611025485
out/compressed/mnist/QG_32/rank_8.mdl,1.7650727343711086,1.8283365840091996,1.7852031842511284
out/compressed/mnist/QG_32/rank_16.mdl,1.4031060422929607,1.478402356541714,1.433040657707693
out/compressed/mnist/QG_32/rank_32.mdl,1.240709450353936,1.3289465953358295,1.2864353626062568
out/compressed/mnist/QG_32/rank_1finetuned.mdl,1.4989068652155397,1.5425543838774933,1.5108705415847705
out/compressed/mnist/QG_32/rank_2finetuned.mdl,1.393134827858776,1.4441794273323014,1.4091781752277
out/compressed/mnist/QG_32/rank_4finetuned.mdl,1.3094247134197257,1.3679818049901458,1.3300370162360609
out/compressed/mnist/QG_32/rank_8finetuned.mdl,1.2330614523715004,1.303188400952781,1.2643780028415468
out/compressed/mnist/QG_32/rank_16finetuned.mdl,1.1898335192121678,1.2672037751762455,1.22960052430787
out/compressed/mnist/QG_32/rank_32finetuned.mdl,1.1549111439621844,1.2489684157880447,1.2103519517046588
out/compressed/fashion_mnist/QG_32/rank_1.mdl,8.73209911778324,8.78849166437688,8.802662447474352
out/compressed/fashion_mnist/QG_32/rank_2.mdl,7.116221169049515,7.162328076909423,7.176798662402698
out/compressed/fashion_mnist/QG_32/rank_4.mdl,5.611472223049084,5.652649692831091,5.667513964007942
out/compressed/fashion_mnist/QG_32/rank_8.mdl,4.300581726681753,4.348781233222636,4.357263204329038
out/compressed/fashion_mnist/QG_32/rank_16.mdl,3.550103759007544,3.607252927125141,3.616021650739165
out/compressed/fashion_mnist/QG_32/rank_32.mdl,3.3326569141441955,3.4059939786412308,3.4146291747566524
