rg,layer,k,num-params,num-trainable-params,batch-size,test-time,test-time-std,test-space,test-space-std,train-time,train-time-std,train-space,train-space-std
RQT,cp,16,51728448,51728448,128,21.936729668613417,0.7901529433811724,4.968216419219971,0.0,27.792916071941576,1.2994741345844032,5.361558437347412,27.792916071941576
RQT,cp-shared,16,50336832,50336832,128,22.400619537476075,0.8708087218681001,4.963032245635986,0.0,29.410929492199756,1.125029246536051,5.346005916595459,29.410929492199756
RQT,cp-shared-new,16,50336832,50358657,128,22.230132819179552,0.580698902007312,4.963114261627197,0.0,30.543189726680158,1.532617730769116,5.346251964569092,30.543189726680158
RQT,cp,32,106250368,106250368,128,26.051529505166663,0.6011128113522487,5.358826160430908,0.0,33.64800908192095,1.7521325253178057,6.158387660980225,33.64800908192095
RQT,cp-shared,32,100683904,100683904,128,26.430168680397863,0.6588786502400077,5.338089466094971,0.0,52.91434285726892,1.9268391998481782,6.096177577972412,52.91434285726892
RQT,cp-shared-new,32,100683904,100727553,128,26.66382113230755,0.5604723112985005,5.338252544403076,0.0,53.38940950569857,1.6595739433396983,6.0966668128967285,53.38940950569857
RQT,cp,64,223674624,223674624,128,34.981529526921165,0.7174329923314847,6.171265602111816,0.0,44.873746374045986,1.4401529944639018,7.845705986022949,44.873746374045986
RQT,cp-shared,64,201408768,201408768,128,35.670082751048135,0.6834016598383034,6.088318824768066,0.0,65.05057810588055,1.3312188094755517,7.596865653991699,65.05057810588055
RQT,cp-shared-new,64,201408768,201496065,128,35.799490135836315,0.6745821149900277,6.088644504547119,0.0,66.08317412717275,1.8344044542093492,7.597842693328857,66.08317412717275
RQT,cp,128,492044800,492044800,128,57.4023661326213,0.6480270487617931,7.921022415161133,0.0,74.62123267238877,1.204850268326488,11.594976425170898,74.62123267238877
RQT,cp-shared,128,402981376,402981376,128,58.23487889240066,0.5748091714531328,7.589235305786133,0.0,94.79920977856739,1.7503492627238308,10.599615097045898,94.79920977856739
RQT,cp-shared-new,128,402981376,403155969,128,58.49497964391747,0.6683205676003301,7.58988618850708,0.0,94.86743862657661,1.5806050025071416,10.60156774520874,94.86743862657661
RQT,cp,256,1162871808,1162871808,128,98.47510427451995,0.7572070468302339,11.920047760009766,0.0,133.6665085022708,1.6504002986403155,23.412370204925537,133.6665085022708
RQT,cp-shared,256,806618112,806618112,128,100.60517800572407,0.7703652629597887,10.592899322509766,0.0,150.89990932970161,1.5588896580648113,18.103776454925537,150.89990932970161
